SKU,Actual Size On TEMU,Quantity,Tracking
5020055Chesnut12,Chesnut / L,1,9300111038400045978825
5020055Chesnut14,Chesnut / XL,1,9300111038400045978191
5020055Chesnut14,Chesnut / XL,1,9334611038400006612036
5020055Clay12,Clay / L,1,9300111038400045871348
5020055Clay14,Clay / XL,1,9300111038400045863138
5020055Clay14,Clay / XL,1,9300111038400045863336
5020055Clay14,Clay / XL,1,9334611038400006607445
5020055Clay16,Clay / XXL,1,9300111038400045863190
5020055Clay16,Clay / XXL,1,9300111038400045863343
5020055Clay6,Clay / XS,1,9300111038400045978542
5020055Denim14,Denim / XL,1,9300111038400045978283
5020055DustyBlue10,DustyBlue / M,1,9300111038400045870891
5020055DustyBlue10,DustyBlue / M,1,9300111038400045871164
5020055DustyBlue12,DustyBlue / L,1,9300111038400045863213
5020055DustyBlue12,DustyBlue / L,1,9300111038400045869949
5020055DustyBlue14,DustyBlue / XL,1,9300111038400045863336
5020055DustyBlue14,DustyBlue / XL,1,9300111038400045869260
5020055DustyBlue14,DustyBlue / XL,1,9300111038400045869741
5020055DustyBlue14,DustyBlue / XL,1,9334611038400006607445
5020055DustyBlue16,DustyBlue / XXL,1,9300111038400045863190
5020055DustyBlue16,DustyBlue / XXL,1,9300111038400045863343
5020055Forest14,Forest / XL,1,9334611038400006612036
5020055Gold12,Gold / L,1,9334611038400006612036
5020055Ink10,Ink / M,1,9300111038400045869697
5020055Ink14,Ink / XL,1,9300111038400045863138
5020055Ink14,Ink / XL,1,9334611038400006612036
5020055Ink16,Ink / XXL,1,9300111038400045863190
5020055Lilac12,Lilac / L,1,9300111038400045976722
5020055Lilac16,Lilac / XXL,1,9300111038400045976746
5020055Mauve12,Mauve / L,1,9300111038400045978320
5020055Mauve14,Mauve / XL,1,9300111038400045978757
5020055Mauve14,Mauve / XL,1,9334611038400006612036
5020055Olive10,Olive / M,1,9300111038400045871171
5020055Olive12,Olive / L,1,9300111038400045870839
5020055Olive12,Olive / L,1,9300111038400045976760
5020055Olive14,Olive / XL,1,9300111038400045869239
5020055Olive16,Olive / XXL,1,9300111038400045863343
5020055Paprika14,Paprika / XL,1,9300111038400045871300
5020055Paprika14,Paprika / XL,1,9334611038400006607445
5020055PeachSkin10,Peach Skin / M,1,9300111038400045871010
5020055PeachSkin12,PeachSkin / L,1,9300111038400045976722
5020055PeachSkin12,PeachSkin / L,1,9300111038400045976760
5020055PeachSkin14,Peach Skin / XL,1,9334611038400006607445
5020055PeachSkin14,PeachSkin / XL,1,9334611038400006612036
5020055PeachSkin16,Peach Skin / XXL,1,9300111038400045869611
5020055Pinkiss14,Pinkiss / XL,1,9334611038400006612036
5020055Pinkiss8,Pinkiss / S,1,9300111038400045978221
5020055PurpleHeather12,PurpleHeather / L,1,9300111038400045978740
5020055PurpleHeather16,PurpleHeather / XXL,1,9300111038400045976746
5020055Sage14,Sage / XL,1,9334611038400006612036
5020055Seafog8,Seafog / S,1,9300111038400045870808
5020055Sorbert14,Sorbert / XL,1,9334611038400006612036
5020055Sorbert6,Sorbert / XS,1,9300111038400045978603
5020055Spice12,Spice / L,1,9300111038400045976760
5020055Spice14,Spice / XL,1,9334611038400006612036
5020055Spice16,Spice / XXL,1,9300111038400045978696
5020055Thunder14,Thunder / XL,1,9334611038400006612036
5020055TibetantRed14,Tibetan Red / XL,1,9334611038400006612036
5020055Toffee12,Toffee / L,1,9334611038400006612036
5020055Toffee8,Toffee / S,1,9300111038400045976739
5020055VivaMagenta14,VivaMagenta / XL,1,9334611038400006612036
5020055VivaMagenta6,VivaMagenta / XS,1,9300111038400045978870
5020055White10,White / M,1,9300111038400045978719
5020055White6,White / XS,1,9300111038400045978665
5020055White8,White / S,1,9300111038400045976739
5020066LivingCoralXL,LivingCoral / XL,1,9300111038400046041979
5020066NileL,Nile / L,1,9300111038400046023449
5020066PinkYarrowL,PinkYarrow / L,1,9300111038400046023289
5020066SkivvyPinkL,SkivvyPink / L,1,9300111038400046023449
5020066StoneL,Stone / L,1,9300111038400046023449
5020069BlackL,Black / L,1,9300111038400046036173
5020069BlackXL,Black / XL,1,9300111038400046035572
5020069BlackXL,Black / XL,1,9300111038400046035770
5020069NileL,Nile / L,1,9300111038400046035800
5020069NileXL,Nile / XL,1,9300111038400046039266
5020069PinkYarrowM,PinkYarrow / M,1,9300111038400046036111
5020069PinkYarrowM,PinkYarrow / M,1,9300111038400046042334
5020069PinkYarrowXL,PinkYarrow / XL,1,9300111038400046035688
5020069PrismPinkL,PrismPink / L,1,9300111038400046035442
5020069PrismPinkL,PrismPink / L,1,9300111038400046034391
5020069PrismPinkL,PrismPink / L,1,9300111038400046035640
5020069PrismPinkS,PrismPink / S,1,9300111038400046036036
5020069SeafoamL,Seafoam / L,1,9300111038400046034391
5020069SeafoamL,Seafoam / L,1,9300111038400046035978
5020069SeafoamM,Seafoam / M,1,9300111038400046035947
5020069SeafoamS,Seafoam / S,1,9300111038400046035961
5020069SilverL,Silver / L,1,9300111038400046035930
5020069SilverL,Silver / L,1,9300111038400046036135
5020069SilverS,Silver / S,1,9300111038400046034353
5020069SilverS,Silver / S,1,9300111038400046032434
5020069SilverXL,Silver / XL,1,9300111038400046039266
5020069SkivvyPinkL,SkivvyPink / L,1,9300111038400046035879
5020069SkivvyPinkXL,SkivvyPink / XL,1,9300111038400046035671
5020069StoneS,Stone / S,1,9300111038400046035473
5020069SummerGreenM,SummerGreen / M,1,9300111038400046035824
5020069SummerGreenM,SummerGreen / M,1,9300111038400046035916
5020069SummerGreenXL,SummerGreen / XL,1,9300111038400046034377
5020069SummerGreenXL,SummerGreen / XL,1,9300111038400046034360
5020069SummerGreenXL,SummerGreen / XL,1,9300111038400046031437
5020069SunlightM,Sunlight / M,1,9300111038400046035619
5020069SunlightS,Sunlight / S,1,9300111038400046034353
5020069WhiteL,White / L,1,9300111038400046035664
5020069WhiteL,White / L,1,9300111038400046035992
5020069WhiteL,White / L,1,9300111038400046035602
5020069WhiteL,White / L,1,9300111038400046034391
5020069WhiteL,White / L,1,9300111038400046035497
5020069WhiteL,White / L,1,9300111038400046035459
5020069WhiteM,White / M,1,9300111038400046035893
5020069WhiteM,White / M,1,9300111038400046036029
5020069WhiteS,White / S,1,9300111038400046035787
5020069WhiteXL,White / XL,1,9300111038400046035527
5020069WhiteXL,White / XL,1,9300111038400046035954
5020069WhiteXL,White / XL,1,9300111038400046035701
5020069WhiteXL,White / XL,1,9300111038400046035817
5020069WhiteXL,White / XL,1,9300111038400046034377
5020069WhiteXL,White / XL,1,9300111038400046034360
5020069WhiteXL,White / XL,1,9300111038400046035510
5020069WhiteXL,White / XL,1,9300111038400046039266
5020090 Denim M,Denim / M,1,9334611038400006614856
5020090 Denim S,Denim / S,1,9334611038400006614856
5020090 Grey L,Grey / L,1,9300111038400046041856
5020090 Grey M,Grey / M,1,9334611038400006614856
5020090 Grey S,Grey / S,1,9300111038400046042051
5020090 Grey S,Grey / S,1,9334611038400006614856
5020090 Ink M,Ink / M,1,9300111038400046042266
5020090BlackL,Black / L,1,9300111038400046023524
5020090BlackL,Black / L,1,9300111038400046023302
5020090BlackM,Black / M,1,9300111038400046023708
5020090BlackM,Black / M,1,9300111038400046023388
5020090BlackM,Black / M,1,9334611038400006614108
5020090BlackS,Black / S,1,9300111038400045871317
5020090BlushPinkL,Blush Pink / L,1,9300111038400045869598
5020090BrichM,Brich / M,1,9334611038400006614108
5020090BrichS,Brich / S,1,9300111038400046023111
5020090DenimXL,Denim / XL,1,9300111038400045863220
5020090DenimXL,Denim / XL,1,9300111038400045870792
5020090GreyL,Grey / L,1,9300111038400045869574
5020090GreyM,Grey / M,1,9300111038400045859650
5020090GreyM,Grey / M,1,9300111038400045863268
5020090GreyXL,Grey / XL,1,9300111038400045863220
5020090GreyXL,Grey / XL,1,9300111038400045869772
5020090GreyXL,Grey / XL,1,9300111038400045871225
5020090InkL,Ink / L,1,9300111038400046023456
5020090InkL,Ink / L,1,9300111038400046023302
5020090InkM,Ink / M,1,9300111038400046023708
5020090InkM,Ink / M,1,9334611038400006614108
5020090InkS,Ink / S,1,9300111038400046023739
5020090InkS,Ink / S,1,9300111038400046023548
5020090InkXL,Ink / XL,1,9300111038400046023517
5020090InkXL,Ink / XL,1,9300111038400046023203
5020090InkXL,Ink / XL,1,9300111038400046023609
5020090PearlM,Pearl / M,1,9300111038400045859650
5020090PearlM,Pearl / M,1,9334611038400006614108
5020090SurfL,Surf / L,1,9300111038400045869345
5020090SurfL,Surf / L,1,9300111038400045869802
5020090SurfL,Surf / L,1,9300111038400046023616
5020090SurfM,Surf / M,1,9300111038400045863268
